ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00296:PF10225:PF08559:PF05129:PF01423,225,168,107,118,61,781,0.64,0.83,0.48,0.48,0.45,12,12,213,0,842,1.0,0.8,0.05,0.05,0.21
PF00002,PF14087:PF03309:PF05141:PF08017:PF12294,82,52,26,56,26,959,0.5,0.92,0.32,0.32,0.36,5,5,77,0,985,1.0,0.93,0.06,0.06,0.24
PF00003,PF10565:PF04002:PF08017:PF10532:PF01241,70,29,18,52,11,986,0.62,0.94,0.26,0.26,0.37,1,1,69,0,997,1.0,0.94,0.01,0.01,0.12
PF00004,PF02359:PF04703:PF04951:PF07937:PF12127,294,34,34,260,0,773,1.0,0.76,0.12,0.12,0.29,0,0,294,0,773,0,0.72,0.0,0.0,0
PF00005,PF03412:PF14510:PF02405:PF16185:PF02621,381,69,65,316,4,682,0.94,0.7,0.17,0.17,0.32,5,5,376,0,686,1.0,0.65,0.01,0.01,0.09
PF00006,PF00306:PF10962:PF08189:PF17331:PF02425,90,31,30,60,1,976,0.97,0.94,0.33,0.33,0.55,0,0,90,0,977,0,0.92,0.0,0.0,0
PF00007,PF08189:PF11415:PF00451:PF17333:PF06357,11,2,0,11,2,1054,0.0,0.99,0.0,0.0,-0.0,0,0,11,0,1056,0,0.99,0.0,0.0,0
PF00008,PF12661:PF07657:PF00594:PF19330:PF01414,122,81,75,47,6,939,0.93,0.95,0.61,0.61,0.73,11,11,111,0,945,1.0,0.9,0.09,0.09,0.28
PF00009,PF16004:PF15594:PF14491:PF08189:PF07606,202,25,22,180,3,862,0.88,0.83,0.11,0.11,0.27,1,1,201,0,865,1.0,0.81,0.0,0.0,0.06
PF00010,PF13388:PF14893:PF13676:PF02301:PF07209,170,97,62,108,35,862,0.64,0.87,0.36,0.36,0.41,6,6,164,0,897,1.0,0.85,0.04,0.04,0.17
PF00011,PF13879:PF09431:PF08837:PF09451:PF10235,91,66,35,56,31,945,0.53,0.92,0.38,0.38,0.41,4,4,87,0,976,1.0,0.92,0.04,0.04,0.2
PF00012,PF14441:PF04231:PF19150:PF03229:PF04908,154,44,26,128,18,895,0.59,0.86,0.17,0.17,0.26,4,4,150,0,913,1.0,0.86,0.03,0.03,0.15
PF00013,PF17904:PF16274:PF08067:PF12072:PF16551,154,25,25,129,0,913,1.0,0.88,0.16,0.16,0.38,2,2,152,0,913,1.0,0.86,0.01,0.01,0.11
PF00014,PF14625:PF15761:PF08189:PF11415:PF00451,82,25,24,58,1,984,0.96,0.94,0.29,0.29,0.51,0,0,82,0,985,0,0.92,0.0,0.0,0
PF00015,PF01521:PF07039:PF07572:PF00832:PF11571,36,78,14,22,64,967,0.18,0.92,0.39,0.39,0.23,18,9,27,9,1022,0.5,0.97,0.25,0.25,0.34
PF00016,PF02425:PF17331:PF08189:PF13179:PF18251,19,0,0,19,0,1048,0,0.98,0.0,0.0,0,0,0,19,0,1048,0,0.98,0.0,0.0,0
PF00017,PF05251:PF00620:PF08668:PF14087:PF05022,125,154,76,49,78,864,0.49,0.88,0.61,0.61,0.48,12,10,115,2,940,0.83,0.89,0.08,0.08,0.24
