ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021:PF00007:PF00026:PF00025:PF00014:PF00010,225,404,183,42,221,621,0.45,0.75,0.81,0.81,0.46,52,51,174,1,841,0.98,0.84,0.23,0.23,0.43
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001:PF00020:PF00010:PF00003:PF00015:PF00006,82,415,74,8,341,644,0.18,0.67,0.9,0.9,0.3,45,32,50,13,972,0.71,0.94,0.39,0.39,0.5
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004:PF00019:PF00009:PF00012:PF00024:PF00002,70,561,67,3,494,503,0.12,0.53,0.96,0.96,0.23,63,38,32,25,972,0.6,0.95,0.54,0.54,0.54
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019:PF00003:PF00005:PF00009:PF00012:PF00018,294,585,263,31,322,451,0.45,0.67,0.89,0.89,0.43,86,82,212,4,769,0.95,0.8,0.28,0.28,0.45
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009:PF00022:PF00020:PF00015:PF00024:PF00001,381,501,294,87,207,479,0.59,0.72,0.77,0.77,0.45,59,59,322,0,686,1.0,0.7,0.15,0.15,0.32
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022:PF00019:PF00004:PF00020:PF00009:PF00013,90,559,84,6,475,502,0.15,0.55,0.93,0.93,0.25,64,38,52,26,951,0.59,0.93,0.42,0.42,0.46
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011:PF00015:PF00001:PF00009:PF00026:PF00014,11,385,11,0,374,682,0.03,0.65,1.0,1.0,0.14,27,7,4,20,1036,0.26,0.98,0.64,0.64,0.4
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014:PF00027:PF00013:PF00017:PF00018:PF00025,122,474,122,0,352,593,0.26,0.67,1.0,1.0,0.4,79,67,55,12,933,0.85,0.94,0.55,0.55,0.65
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012:PF00016:PF00010:PF00004:PF00005:PF00003,202,541,175,27,366,499,0.32,0.63,0.87,0.87,0.35,50,45,157,5,860,0.9,0.85,0.22,0.22,0.4
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009:PF00020:PF00015:PF00019:PF00012:PF00002,170,365,130,40,235,662,0.36,0.74,0.76,0.76,0.39,30,28,142,2,895,0.93,0.87,0.16,0.16,0.36
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025:PF00026:PF00021:PF00001:PF00023:PF00009,91,494,82,9,412,564,0.17,0.61,0.9,0.9,0.27,64,38,53,26,950,0.59,0.93,0.42,0.42,0.46
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020:PF00010:PF00004:PF00013:PF00003:PF00019,154,476,154,0,322,591,0.32,0.7,1.0,1.0,0.46,66,60,94,6,907,0.91,0.91,0.39,0.39,0.56
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011:PF00017:PF00014:PF00018:PF00008:PF00016,154,522,154,0,368,545,0.3,0.66,1.0,1.0,0.42,78,68,86,10,903,0.87,0.91,0.44,0.44,0.58
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025:PF00020:PF00015:PF00001:PF00007:PF00009,82,421,75,7,346,639,0.18,0.67,0.91,0.91,0.31,40,29,53,11,974,0.72,0.94,0.35,0.35,0.48
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007:PF00014:PF00027:PF00002:PF00006:PF00022,36,419,36,0,383,648,0.09,0.64,1.0,1.0,0.23,42,15,21,27,1004,0.36,0.96,0.42,0.42,0.36
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012:PF00009:PF00003:PF00011:PF00002:PF00029,19,395,19,0,376,672,0.05,0.65,1.0,1.0,0.18,39,9,10,30,1018,0.23,0.96,0.47,0.47,0.31
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024:PF00008:PF00023:PF00015:PF00029:PF00028,125,430,125,0,305,637,0.29,0.71,1.0,1.0,0.44,46,42,83,4,938,0.91,0.92,0.34,0.34,0.53
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004:PF00024:PF00008:PF00007:PF00015:PF00014,184,466,152,32,314,569,0.33,0.68,0.83,0.83,0.36,45,43,141,2,881,0.96,0.87,0.23,0.23,0.43
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009:PF00006:PF00022:PF00004:PF00010:PF00007,42,445,42,0,403,622,0.09,0.62,1.0,1.0,0.24,27,16,26,11,1014,0.59,0.97,0.38,0.38,0.46
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009:PF00012:PF00010:PF00028:PF00007:PF00002,34,371,34,0,337,696,0.09,0.68,1.0,1.0,0.25,26,20,14,6,1027,0.77,0.98,0.59,0.59,0.66
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011:PF00023:PF00001:PF00025:PF00013:PF00026,19,441,19,0,422,626,0.04,0.6,1.0,1.0,0.16,51,9,10,42,1006,0.18,0.95,0.47,0.47,0.27
PF00022,PF00022:PF00025:PF00006:PF00019:PF00001:PF00009:PF00024:PF00005:PF00030:PF00011,141,548,141,0,407,519,0.26,0.62,1.0,1.0,0.38,60,54,87,6,920,0.9,0.91,0.38,0.38,0.55
PF00023,PF00013:PF00018:PF00008:PF00004:PF00028:PF00021:PF00011:PF00025:PF00017:PF00003,236,476,191,45,285,546,0.4,0.69,0.81,0.81,0.39,64,62,174,2,829,0.97,0.84,0.26,0.26,0.45
PF00024,PF00030:PF00017:PF00016:PF00026:PF00010:PF00027:PF00003:PF00022:PF00018:PF00013,78,454,69,9,385,604,0.15,0.63,0.88,0.88,0.26,63,39,39,24,965,0.62,0.94,0.5,0.5,0.53
PF00025,PF00022:PF00028:PF00011:PF00014:PF00029:PF00023:PF00030:PF00001:PF00021:PF00008,136,421,112,24,309,622,0.27,0.69,0.82,0.82,0.34,45,40,96,5,926,0.89,0.91,0.29,0.29,0.48
PF00026,PF00012:PF00011:PF00027:PF00024:PF00013:PF00001:PF00007:PF00016:PF00004:PF00019,131,485,119,12,366,570,0.25,0.65,0.91,0.91,0.34,55,49,82,6,930,0.89,0.92,0.37,0.37,0.55
PF00027,PF00005:PF00004:PF00002:PF00008:PF00026:PF00001:PF00028:PF00024:PF00015:PF00013,174,564,159,15,405,488,0.28,0.61,0.91,0.91,0.34,78,64,110,14,879,0.82,0.88,0.37,0.37,0.5
PF00028,PF00028:PF00008:PF00002:PF00025:PF00021:PF00014:PF00023:PF00020:PF00027:PF00030,91,401,91,0,310,666,0.23,0.71,1.0,1.0,0.39,48,40,51,8,968,0.83,0.94,0.44,0.44,0.58
PF00029,PF00007:PF00019:PF00020:PF00021:PF00014:PF00011:PF00030:PF00016:PF00025:PF00028,20,263,19,1,244,803,0.07,0.77,0.95,0.95,0.23,16,11,9,5,1042,0.69,0.99,0.55,0.55,0.61
PF00030,PF00017:PF00024:PF00029:PF00018:PF00020:PF00025:PF00028:PF00022:PF00010:PF00016,24,414,22,2,392,651,0.05,0.63,0.92,0.92,0.16,38,12,12,26,1017,0.32,0.96,0.5,0.5,0.38
