ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021,151,208,88,63,120,845,0.42,0.84,0.58,0.58,0.4,30,26,125,4,961,0.87,0.88,0.17,0.17,0.36
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001,51,256,44,7,212,853,0.17,0.8,0.86,0.86,0.33,43,24,27,19,1046,0.56,0.96,0.47,0.47,0.49
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004,43,435,38,5,397,676,0.09,0.64,0.88,0.88,0.2,82,20,23,62,1011,0.24,0.92,0.47,0.47,0.3
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019,253,286,148,105,138,725,0.52,0.78,0.58,0.58,0.41,47,42,211,5,858,0.89,0.81,0.17,0.17,0.33
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009,281,355,181,100,174,661,0.51,0.75,0.64,0.64,0.41,62,56,225,6,829,0.9,0.79,0.2,0.2,0.36
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022,59,362,43,16,319,738,0.12,0.7,0.73,0.73,0.2,52,20,39,32,1025,0.38,0.94,0.34,0.34,0.33
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011,9,88,7,2,81,1026,0.08,0.93,0.78,0.78,0.23,6,4,5,2,1105,0.67,0.99,0.44,0.44,0.54
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014,93,243,93,0,150,873,0.38,0.87,1.0,1.0,0.57,39,39,54,0,1023,1.0,0.95,0.42,0.42,0.63
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012,146,188,79,67,109,861,0.42,0.84,0.54,0.54,0.39,20,15,131,5,965,0.75,0.88,0.1,0.1,0.25
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009,131,208,72,59,136,849,0.35,0.83,0.55,0.55,0.34,24,18,113,6,979,0.75,0.89,0.14,0.14,0.29
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025,50,238,38,12,200,866,0.16,0.81,0.76,0.76,0.29,26,16,34,10,1056,0.62,0.96,0.32,0.32,0.43
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020,105,240,105,0,135,876,0.44,0.88,1.0,1.0,0.62,32,29,76,3,1008,0.91,0.93,0.28,0.28,0.48
