ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021,50,64,24,26,40,262,0.38,0.81,0.48,0.48,0.31,7,6,44,1,301,0.86,0.87,0.12,0.12,0.29
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001,12,91,9,3,82,258,0.1,0.76,0.75,0.75,0.21,12,6,6,6,334,0.5,0.97,0.5,0.5,0.48
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004,13,139,11,2,128,211,0.08,0.63,0.85,0.85,0.18,26,7,6,19,320,0.27,0.93,0.54,0.54,0.35
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019,89,93,44,45,49,214,0.47,0.73,0.49,0.49,0.3,10,10,79,0,263,1.0,0.78,0.11,0.11,0.29
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009,84,132,61,23,71,197,0.46,0.73,0.73,0.73,0.41,12,12,72,0,268,1.0,0.8,0.14,0.14,0.34
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022,23,107,13,10,94,235,0.12,0.7,0.57,0.57,0.15,14,7,16,7,322,0.5,0.93,0.3,0.3,0.36
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011,6,25,4,2,21,325,0.16,0.93,0.67,0.67,0.31,3,2,4,1,345,0.67,0.99,0.33,0.33,0.47
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014,30,64,30,0,34,288,0.47,0.9,1.0,1.0,0.65,9,8,22,1,321,0.89,0.93,0.27,0.27,0.47
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012,41,51,14,27,37,274,0.27,0.82,0.34,0.34,0.2,5,5,36,0,311,1.0,0.9,0.12,0.12,0.33
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009,35,68,17,18,51,266,0.25,0.8,0.49,0.49,0.25,7,6,29,1,316,0.86,0.91,0.17,0.17,0.36
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025,15,80,11,4,69,268,0.14,0.79,0.73,0.73,0.25,9,6,9,3,334,0.67,0.97,0.4,0.4,0.5
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020,22,73,22,0,51,279,0.3,0.86,1.0,1.0,0.5,6,6,16,0,330,1.0,0.95,0.27,0.27,0.51
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011,35,132,35,0,97,220,0.27,0.72,1.0,1.0,0.43,20,15,20,5,312,0.75,0.93,0.43,0.43,0.53
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025,12,81,10,2,71,269,0.12,0.79,0.83,0.83,0.27,9,7,5,2,338,0.78,0.98,0.58,0.58,0.66
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007,4,71,4,0,67,281,0.06,0.81,1.0,1.0,0.21,6,4,0,2,346,0.67,0.99,1.0,1.0,0.81
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012,9,66,6,3,60,283,0.09,0.82,0.67,0.67,0.2,5,3,6,2,341,0.6,0.98,0.33,0.33,0.44
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024,31,87,31,0,56,265,0.36,0.84,1.0,1.0,0.54,9,8,23,1,320,0.89,0.93,0.26,0.26,0.46
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004,46,130,35,11,95,211,0.27,0.7,0.76,0.76,0.31,16,10,36,6,300,0.62,0.88,0.22,0.22,0.32
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009,11,54,11,0,43,298,0.2,0.88,1.0,1.0,0.42,4,3,8,1,340,0.75,0.97,0.27,0.27,0.44
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009,4,54,4,0,50,298,0.07,0.86,1.0,1.0,0.25,4,3,1,1,347,0.75,0.99,0.75,0.75,0.75
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011,4,28,4,0,24,324,0.14,0.93,1.0,1.0,0.36,4,4,0,0,348,1.0,1.0,1.0,1.0,1.0
PF00022,PF00022:PF00025:PF00006:PF00019:PF00001,27,99,27,0,72,253,0.27,0.8,1.0,1.0,0.46,10,9,18,1,324,0.9,0.95,0.33,0.33,0.53
PF00023,PF00013:PF00018:PF00008:PF00004:PF00028,32,139,27,5,112,208,0.19,0.67,0.84,0.84,0.29,20,9,23,11,309,0.45,0.9,0.28,0.28,0.31
PF00024,PF00030:PF00017:PF00016:PF00026:PF00010,11,71,4,7,67,274,0.06,0.79,0.36,0.36,0.07,7,4,7,3,338,0.57,0.97,0.36,0.36,0.44
PF00025,PF00022:PF00028:PF00011:PF00014:PF00029,36,49,17,19,32,284,0.35,0.86,0.47,0.47,0.32,7,6,30,1,315,0.86,0.91,0.17,0.17,0.35
PF00026,PF00012:PF00011:PF00027:PF00024:PF00013,21,78,11,10,67,264,0.14,0.78,0.52,0.52,0.18,7,6,15,1,330,0.86,0.95,0.29,0.29,0.48
PF00027,PF00005:PF00004:PF00002:PF00008:PF00026,36,139,28,8,111,205,0.2,0.66,0.78,0.78,0.26,22,11,25,11,305,0.5,0.9,0.31,0.31,0.34
PF00028,PF00028:PF00008:PF00002:PF00025:PF00021,17,65,17,0,48,287,0.26,0.86,1.0,1.0,0.47,8,7,10,1,334,0.88,0.97,0.41,0.41,0.59
PF00029,PF00007:PF00019:PF00020:PF00021:PF00014,4,22,3,1,19,329,0.14,0.94,0.75,0.75,0.3,4,2,2,2,346,0.5,0.99,0.5,0.5,0.49
PF00030,PF00017:PF00024:PF00029:PF00018:PF00020,10,63,6,4,57,285,0.1,0.83,0.6,0.6,0.19,5,3,7,2,340,0.6,0.97,0.3,0.3,0.41
