ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00296:PF10225:PF08559:PF05129:PF01423:PF01578:PF03937:PF04720:PF08939:PF10340,225,188,113,112,75,767,0.6,0.82,0.5,0.5,0.44,9,9,216,0,842,1.0,0.8,0.04,0.04,0.18
PF00002,PF14087:PF03309:PF05141:PF08017:PF12294:PF08668:PF06056:PF19060:PF15880:PF02721,82,95,39,43,56,929,0.41,0.91,0.48,0.48,0.39,3,3,79,0,985,1.0,0.93,0.04,0.04,0.18
PF00003,PF10565:PF04002:PF08017:PF10532:PF01241:PF14087:PF07382:PF12294:PF05022:PF04069,70,64,33,37,31,966,0.52,0.94,0.47,0.47,0.46,2,2,68,0,997,1.0,0.94,0.03,0.03,0.16
PF00004,PF02359:PF04703:PF04951:PF07937:PF12127:PF14491:PF06253:PF08189:PF17331:PF06778,294,36,35,259,1,772,0.97,0.76,0.12,0.12,0.29,0,0,294,0,773,0,0.72,0.0,0.0,0
PF00005,PF03412:PF14510:PF02405:PF16185:PF02621:PF08017:PF02472:PF17517:PF16697:PF12248,381,105,92,289,13,673,0.88,0.72,0.24,0.24,0.36,2,2,379,0,686,1.0,0.64,0.01,0.01,0.06
PF00006,PF00306:PF10962:PF08189:PF17331:PF02425:PF11415:PF00451:PF17333:PF06357:PF11584,90,33,30,60,3,974,0.91,0.94,0.33,0.33,0.53,0,0,90,0,977,0,0.92,0.0,0.0,0
PF00007,PF08189:PF11415:PF00451:PF17333:PF06357:PF11584:PF01303:PF17330:PF17079:PF18680,11,2,0,11,2,1054,0.0,0.99,0.0,0.0,-0.0,0,0,11,0,1056,0,0.99,0.0,0.0,0
PF00008,PF12661:PF07657:PF00594:PF19330:PF01414:PF00054:PF11855:PF08189:PF11415:PF00451,122,94,84,38,10,935,0.89,0.96,0.69,0.69,0.76,0,0,122,0,945,0,0.89,0.0,0.0,0
PF00009,PF16004:PF15594:PF14491:PF08189:PF07606:PF11415:PF06253:PF00451:PF17331:PF17333,202,28,24,178,4,861,0.86,0.83,0.12,0.12,0.28,0,0,202,0,865,0,0.81,0.0,0.0,0
PF00010,PF13388:PF14893:PF13676:PF02301:PF07209:PF13886:PF05045:PF09815:PF04908:PF15072,170,138,71,99,67,830,0.51,0.84,0.42,0.42,0.37,5,5,165,0,897,1.0,0.85,0.03,0.03,0.16
PF00011,PF13879:PF09431:PF08837:PF09451:PF10235:PF04229:PF00756:PF04286:PF01051:PF17034,91,109,43,48,66,910,0.39,0.89,0.47,0.47,0.37,2,2,89,0,976,1.0,0.92,0.02,0.02,0.14
PF00012,PF14441:PF04231:PF19150:PF03229:PF04908:PF02308:PF01710:PF01529:PF12259:PF00876,154,180,74,80,106,807,0.41,0.83,0.48,0.48,0.34,4,4,150,0,913,1.0,0.86,0.03,0.03,0.15
PF00013,PF17904:PF16274:PF08067:PF12072:PF16551:PF10469:PF16275:PF09005:PF16544:PF18336,154,81,72,82,9,904,0.89,0.91,0.47,0.47,0.61,2,2,152,0,913,1.0,0.86,0.01,0.01,0.11
PF00014,PF14625:PF15761:PF08189:PF11415:PF00451:PF17333:PF06357:PF11584:PF01303:PF17331,82,26,24,58,2,983,0.92,0.94,0.29,0.29,0.5,0,0,82,0,985,0,0.92,0.0,0.0,0
PF00015,PF01521:PF07039:PF07572:PF00832:PF11571:PF00216:PF00253:PF01781:PF08571:PF00177,36,149,19,17,130,901,0.13,0.86,0.53,0.53,0.21,14,7,29,7,1024,0.5,0.97,0.19,0.19,0.3
PF00016,PF02425:PF17331:PF08189:PF13179:PF18251:PF06778:PF12608:PF15977:PF11415:PF12811,19,2,1,18,1,1047,0.5,0.98,0.05,0.05,0.16,0,0,19,0,1048,0,0.98,0.0,0.0,0
PF00017,PF05251:PF00620:PF08668:PF14087:PF05022:PF08017:PF04002:PF07382:PF04378:PF11770,125,167,78,47,89,853,0.47,0.87,0.62,0.62,0.47,4,4,121,0,942,1.0,0.89,0.03,0.03,0.17
PF00018,PF14604:PF07653:PF12127:PF11890:PF08189:PF07937:PF11415:PF17331:PF06778:PF00451,184,140,100,84,40,843,0.71,0.88,0.54,0.54,0.56,0,0,184,0,883,0,0.83,0.0,0.0,0
PF00019,PF07937:PF08189:PF17331:PF18134:PF02907:PF12175:PF20081:PF07606:PF06778:PF11415,42,5,2,40,3,1022,0.4,0.96,0.05,0.05,0.13,0,0,42,0,1025,0,0.96,0.0,0.0,0
PF00020,PF05961:PF17111:PF12688:PF10846:PF00963:PF13961:PF03432:PF11218:PF03496:PF03384,34,107,25,9,82,951,0.23,0.91,0.74,0.74,0.38,3,2,32,1,1032,0.67,0.97,0.06,0.06,0.19
PF00021,PF17669:PF07572:PF07039:PF11267:PF00756:PF02622:PF04229:PF00468:PF10235:PF08571,19,103,9,10,94,954,0.09,0.9,0.47,0.47,0.17,6,5,14,1,1047,0.83,0.99,0.26,0.26,0.46
PF00022,PF08650:PF11267:PF07896:PF01129:PF14521:PF15880:PF19060:PF16297:PF10441:PF06420,141,109,60,81,49,877,0.55,0.88,0.43,0.43,0.42,3,3,138,0,926,1.0,0.87,0.02,0.02,0.14
PF00023,PF13606:PF13637:PF11929:PF14835:PF07693:PF11900:PF09372:PF15898:PF07525:PF11904,236,257,179,57,78,753,0.7,0.87,0.76,0.76,0.65,5,5,231,0,831,1.0,0.78,0.02,0.02,0.13
PF00024,PF10546:PF18684:PF08189:PF11415:PF00451:PF17333:PF06357:PF06183:PF17331:PF11584,78,3,1,77,2,987,0.33,0.93,0.01,0.01,0.05,0,0,78,0,989,0,0.93,0.0,0.0,0
PF00025,PF04229:PF03911:PF10441:PF16077:PF13908:PF07039:PF15090:PF10032:PF11709:PF06609,136,86,49,87,37,894,0.57,0.88,0.36,0.36,0.39,3,3,133,0,931,1.0,0.88,0.02,0.02,0.14
PF00026,PF04231:PF14441:PF03229:PF01529:PF04908:PF00876:PF01710:PF07938:PF14521:PF02102,131,181,79,52,102,834,0.44,0.86,0.6,0.6,0.43,4,4,127,0,936,1.0,0.88,0.03,0.03,0.16
PF00027,PF02197:PF04951:PF11890:PF12127:PF04247:PF08189:PF07937:PF06183:PF17331:PF11415,174,37,33,141,4,889,0.89,0.86,0.19,0.19,0.37,0,0,174,0,893,0,0.84,0.0,0.0,0
PF00028,PF01049:PF08266:PF08758:PF18432:PF15854:PF00963:PF18106:PF06896:PF17331:PF02425,91,35,33,58,2,974,0.94,0.94,0.36,0.36,0.57,1,1,90,0,976,1.0,0.92,0.01,0.01,0.1
PF00029,PF17078:PF02076:PF13546:PF10595:PF15072:PF08159:PF05097:PF06881:PF07209:PF04938,20,79,15,5,64,983,0.19,0.94,0.75,0.75,0.36,2,2,18,0,1047,1.0,0.98,0.1,0.1,0.31
PF00030,PF14070:PF15327:PF13698:PF17331:PF02425:PF08189:PF11415:PF07937:PF00451:PF06778,24,9,4,20,5,1038,0.44,0.98,0.17,0.17,0.26,0,0,24,0,1043,0,0.98,0.0,0.0,0
PF00031,PF15880:PF12224:PF16719:PF18996:PF05548:PF13434:PF12694:PF14087:PF08017:PF02480,32,79,16,16,63,972,0.2,0.93,0.5,0.5,0.29,3,3,29,0,1035,1.0,0.97,0.09,0.09,0.3
PF00032,PF00737:PF07189:PF01667:PF00935:PF03297:PF13864:PF00584:PF05160:PF00203:PF10163,17,133,12,5,121,929,0.09,0.88,0.71,0.71,0.22,7,3,14,4,1046,0.43,0.98,0.18,0.18,0.27
PF00033,PF13631:PF13372:PF08189:PF11415:PF00451:PF17333:PF06357:PF11584:PF01303:PF17330,16,10,7,9,3,1048,0.7,0.99,0.44,0.44,0.55,0,0,16,0,1051,0,0.99,0.0,0.0,0
PF00034,PF04800:PF02320:PF04135:PF10235:PF03645:PF03179:PF01781:PF05869:PF13879:PF04519,29,125,20,9,105,933,0.16,0.89,0.69,0.69,0.3,7,5,24,2,1036,0.71,0.98,0.17,0.17,0.34
PF00035,PF02137:PF02295:PF11952:PF07609:PF14491:PF08189:PF07937:PF17331:PF11415:PF02425,96,53,36,60,17,954,0.68,0.93,0.38,0.38,0.47,0,0,96,0,971,0,0.91,0.0,0.0,0
PF00036,PF12294:PF13405:PF13833:PF17770:PF10532:PF01241:PF14240:PF17932:PF13961:PF04899,95,182,73,22,109,863,0.4,0.88,0.77,0.77,0.5,1,1,94,0,972,1.0,0.91,0.01,0.01,0.1
PF00037,PF13875:PF16697:PF09351:PF00070:PF07382:PF08017:PF15112:PF09072:PF01107:PF07498,37,75,18,19,57,973,0.24,0.93,0.49,0.49,0.31,2,2,35,0,1030,1.0,0.97,0.05,0.05,0.23
PF00038,PF07039:PF07572:PF07896:PF14521:PF01129:PF10441:PF19060:PF00885:PF11267:PF02457,56,118,34,22,84,927,0.29,0.9,0.61,0.61,0.37,5,5,51,0,1011,1.0,0.95,0.09,0.09,0.29
PF00039,PF00040:PF18078:PF18568:PF11415:PF00451:PF02425:PF17333:PF17331:PF06357:PF11584,5,57,5,0,52,1010,0.09,0.95,1.0,1.0,0.29,0,0,5,0,1062,0,1.0,0.0,0.0,0
