ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF00011:PF00002:PF00027:PF00022:PF00021,225,288,154,71,134,708,0.53,0.81,0.68,0.68,0.48,61,57,168,4,838,0.93,0.84,0.25,0.25,0.44
PF00002,PF00028:PF00008:PF00027:PF00016:PF00001,82,332,73,9,259,726,0.22,0.75,0.89,0.89,0.36,90,53,29,37,948,0.59,0.94,0.65,0.65,0.58
PF00003,PF00010:PF00005:PF00006:PF00016:PF00004,70,503,63,7,440,557,0.13,0.58,0.9,0.9,0.23,129,48,22,81,916,0.37,0.9,0.69,0.69,0.46
PF00004,PF00013:PF00023:PF00027:PF00006:PF00019,294,366,202,92,164,609,0.55,0.76,0.69,0.69,0.45,93,81,213,12,761,0.87,0.79,0.28,0.28,0.41
PF00005,PF00003:PF00006:PF00027:PF00004:PF00009,381,425,270,111,155,531,0.64,0.75,0.71,0.71,0.47,109,102,279,7,679,0.94,0.73,0.27,0.27,0.41
PF00006,PF00016:PF00010:PF00003:PF00005:PF00022,90,456,79,11,377,600,0.17,0.64,0.88,0.88,0.28,86,46,44,40,937,0.53,0.92,0.51,0.51,0.48
PF00007,PF00029:PF00021:PF00019:PF00020:PF00011,11,140,8,3,132,924,0.06,0.87,0.73,0.73,0.18,18,7,4,11,1045,0.39,0.99,0.64,0.64,0.49
PF00008,PF00008:PF00028:PF00002:PF00023:PF00014,122,323,122,0,201,744,0.38,0.81,1.0,1.0,0.55,79,74,48,5,940,0.94,0.95,0.61,0.61,0.73
PF00009,PF00020:PF00013:PF00015:PF00019:PF00012,202,254,124,78,130,735,0.49,0.81,0.61,0.61,0.43,40,36,166,4,861,0.9,0.84,0.18,0.18,0.36
PF00010,PF00016:PF00003:PF00006:PF00011:PF00009,170,286,115,55,171,726,0.4,0.79,0.68,0.68,0.4,49,43,127,6,891,0.88,0.88,0.25,0.25,0.43
PF00011,PF00010:PF00029:PF00016:PF00013:PF00025,91,299,74,17,225,751,0.25,0.77,0.81,0.81,0.36,56,35,56,21,955,0.62,0.93,0.38,0.38,0.45
PF00012,PF00012:PF00016:PF00009:PF00026:PF00020,154,305,154,0,151,762,0.5,0.86,1.0,1.0,0.65,65,62,92,3,910,0.95,0.91,0.4,0.4,0.59
PF00013,PF00013:PF00023:PF00009:PF00004:PF00011,154,466,154,0,312,601,0.33,0.71,1.0,1.0,0.47,140,105,49,35,878,0.75,0.92,0.68,0.68,0.67
PF00014,PF00029:PF00028:PF00013:PF00008:PF00025,82,281,68,14,213,772,0.24,0.79,0.83,0.83,0.37,64,38,44,26,959,0.59,0.93,0.46,0.46,0.49
PF00015,PF00015:PF00009:PF00010:PF00016:PF00007,36,291,36,0,255,776,0.12,0.76,1.0,1.0,0.31,36,22,14,14,1017,0.61,0.97,0.61,0.61,0.6
PF00016,PF00019:PF00006:PF00010:PF00020:PF00012,19,279,19,0,260,788,0.07,0.76,1.0,1.0,0.23,58,11,8,47,1001,0.19,0.95,0.58,0.58,0.31
PF00017,PF00017:PF00018:PF00030:PF00013:PF00024,125,307,125,0,182,760,0.41,0.83,1.0,1.0,0.57,74,70,55,4,938,0.95,0.94,0.56,0.56,0.7
PF00018,PF00017:PF00023:PF00030:PF00013:PF00004,184,429,149,35,280,603,0.35,0.7,0.81,0.81,0.38,113,85,99,28,855,0.75,0.88,0.46,0.46,0.53
PF00019,PF00019:PF00016:PF00020:PF00029:PF00009,42,229,42,0,187,838,0.18,0.82,1.0,1.0,0.39,22,14,28,8,1017,0.64,0.97,0.33,0.33,0.45
PF00020,PF00020:PF00019:PF00016:PF00029:PF00009,34,229,34,0,195,838,0.15,0.82,1.0,1.0,0.35,22,20,14,2,1031,0.91,0.99,0.59,0.59,0.72
PF00021,PF00021:PF00007:PF00029:PF00028:PF00011,19,160,19,0,141,907,0.12,0.87,1.0,1.0,0.32,15,7,12,8,1040,0.47,0.98,0.37,0.37,0.41
PF00022,PF00022:PF00025:PF00006:PF00019:PF00001,141,341,141,0,200,726,0.41,0.81,1.0,1.0,0.57,81,69,72,12,914,0.85,0.92,0.49,0.49,0.61
PF00023,PF00013:PF00018:PF00008:PF00004:PF00028,236,424,185,51,239,592,0.44,0.73,0.78,0.78,0.42,114,95,141,19,812,0.83,0.85,0.4,0.4,0.51
PF00024,PF00030:PF00017:PF00016:PF00026:PF00010,78,282,63,15,219,770,0.22,0.78,0.81,0.81,0.35,52,35,43,17,972,0.67,0.94,0.45,0.45,0.52
PF00025,PF00022:PF00028:PF00011:PF00014:PF00029,136,245,93,43,152,779,0.38,0.82,0.68,0.68,0.41,51,42,94,9,922,0.82,0.9,0.31,0.31,0.47
PF00026,PF00012:PF00011:PF00027:PF00024:PF00013,131,334,104,27,230,706,0.31,0.76,0.79,0.79,0.39,87,68,63,19,917,0.78,0.92,0.52,0.52,0.6
PF00027,PF00005:PF00004:PF00002:PF00008:PF00026,174,500,153,21,347,546,0.31,0.66,0.88,0.88,0.36,138,90,84,48,845,0.65,0.88,0.52,0.52,0.51
PF00028,PF00028:PF00008:PF00002:PF00025:PF00021,91,242,91,0,151,825,0.38,0.86,1.0,1.0,0.56,61,47,44,14,962,0.77,0.95,0.52,0.52,0.6
PF00029,PF00007:PF00019:PF00020:PF00021:PF00014,20,122,17,3,105,942,0.14,0.9,0.85,0.85,0.32,15,9,11,6,1041,0.6,0.98,0.45,0.45,0.51
PF00030,PF00017:PF00024:PF00029:PF00018:PF00020,24,251,21,3,230,813,0.08,0.78,0.88,0.88,0.23,51,12,12,39,1004,0.24,0.95,0.5,0.5,0.32
